City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,lago da pedra,-4.3333,-45.1667,39.01,18,0,3.7,BR,1694629610
239,hasaki,35.7333,140.8333,25.16,88,10,2.67,JP,1694629611
240,magala,14.9954,75.7963,22.78,85,82,6.17,IN,1694629611
241,markovo,57.3206,107.0881,8.84,89,99,1.22,RU,1694629611
242,gobabis,-22.45,18.9667,20.77,10,0,3.51,NA,1694629611
243,nefta,33.8731,7.8777,35.14,20,24,1.25,TN,1694629611
244,jamaame,0.0697,42.745,24.57,83,43,4.96,SO,1694629611
245,antofagasta,-23.65,-70.4,17.6,60,0,5.65,CL,1694629611
246,laojunmiao,39.8333,97.7333,17.94,24,84,1.56,CN,1694629611
247,naranjal,-2.6667,-79.6167,33.01,54,21,2.61,EC,1694629611
248,margate,51.3813,1.3862,17.72,78,68,2.24,GB,1694629504
249,kodiak,57.79,-152.4072,8.73,87,75,0.0,US,1694629612
250,turan,16.0678,108.2208,27.99,89,40,1.03,VN,1694629612
251,klaksvik,62.2266,-6.589,9.51,74,100,9.89,FO,1694629612
252,pikalevo,59.5183,34.1664,17.62,71,62,3.69,RU,1694629612
253,turuntayevo,52.2,107.6167,11.05,84,90,0.72,RU,1694629612
254,manali,13.1667,80.2667,27.26,86,100,7.48,IN,1694629612
255,vadso,70.0744,29.7487,8.49,81,75,2.57,NO,1694629612
256,bardai,11.65,7.2333,26.56,65,64,2.91,NG,1694629612
257,saint charles,38.7667,-90.7335,27.17,41,0,2.06,US,1694629407
258,motygino,58.1831,94.7592,8.53,85,41,1.06,RU,1694629613
259,tazovsky,67.4667,78.7,10.0,82,80,5.0,RU,1694629613
260,tarfaya,27.9358,-12.9218,23.32,73,87,6.3,MA,1694629613
261,andergrove,-21.0833,149.1833,14.25,69,1,5.84,AU,1694629613
262,naze,28.3667,129.4833,26.51,82,47,3.85,JP,1694629613
263,xianyang,34.3378,108.7026,20.58,83,0,5.0,CN,1694629613
264,mana,5.6592,-53.7767,30.85,58,16,6.05,GF,1694629613
265,chegdomyn,51.1167,133.0167,4.06,90,7,1.64,RU,1694629613
266,taunsa,30.7048,70.6505,36.1,25,0,3.06,PK,1694629614
267,bunia,1.5667,30.25,19.86,79,55,1.18,CD,1694629614
268,saldanha,-33.0117,17.9442,13.03,73,0,4.07,ZA,1694629614
269,dunedin,-45.8742,170.5036,12.11,41,100,0.45,NZ,1694629614
270,villa gesell,-37.2639,-56.973,13.36,52,26,2.98,AR,1694629614
271,ravar,31.2656,56.8055,30.65,12,0,4.4,IR,1694629614
272,zelenchukskaya,43.858,41.5894,10.46,75,90,2.97,RU,1694629614
273,venta de banos,41.9371,-4.4645,24.29,49,1,2.68,ES,1694629614
274,ishigaki,24.3448,124.1572,26.07,94,20,1.03,JP,1694629614
275,ambovombe,-25.1667,46.0833,19.69,79,99,8.86,MG,1694629615
276,miramichi,47.0043,-65.4654,16.95,95,100,1.75,CA,1694629458
277,tibanbang,6.6315,126.1055,26.63,82,100,3.94,PH,1694629615
278,utrik,11.2278,169.8474,28.12,78,29,6.22,MH,1694629615
279,haiku-pauwela,20.9219,-156.3051,26.76,64,20,3.58,US,1694629615
280,port douglas,-16.4833,145.4667,21.56,65,100,8.21,AU,1694629615
281,sadri,25.1833,73.4333,26.83,69,57,3.91,IN,1694629615
282,bel ombre,-4.6167,55.4167,27.91,74,40,7.2,SC,1694629615
283,pacific grove,36.6177,-121.9166,17.06,89,100,3.13,US,1694629616
284,canal fulton,40.8898,-81.5976,20.23,81,75,3.6,US,1694629434
285,amursk,50.2261,136.8994,8.26,70,4,1.54,RU,1694629616
286,kotido,2.9806,34.1331,25.4,50,53,3.56,UG,1694629616
287,mount pearl,47.5166,-52.7813,17.69,88,100,4.12,CA,1694629616
288,carolina beach,34.0352,-77.8936,29.48,55,13,2.67,US,1694629616
289,beaufort west,-32.3567,22.583,20.25,8,23,8.1,ZA,1694629616
290,vuktyl,63.8567,57.3094,10.65,82,73,2.72,RU,1694629616
291,broome,42.2506,-75.833,23.53,73,40,3.6,US,1694629616
292,fale old settlement,-9.3852,-171.2468,28.08,78,12,6.96,TK,1694629617
293,nogliki,51.8333,143.1667,10.62,85,66,4.46,RU,1694629617
294,murzuq,25.9155,13.9184,30.06,19,0,4.9,LY,1694629617
295,nicoya,10.1483,-85.452,30.7,66,58,1.34,CR,1694629617
296,zheshart,62.0731,49.5733,10.3,91,43,2.4,RU,1694629617
297,san luis de la loma,17.2706,-100.8939,31.95,66,17,3.53,MX,1694629617
298,katabu,-4.9333,122.5167,22.47,89,80,1.68,ID,1694629505
299,katima mulilo,-17.5,24.2667,24.07,35,0,1.9,NA,1694629617
300,grand falls-windsor,48.9332,-55.6649,15.4,91,100,1.78,CA,1694629618
301,leava,-14.3,-178.1667,27.37,73,100,8.27,WF,1694629618
302,urengoy,65.9667,78.3667,13.39,72,32,4.02,RU,1694629618
303,santa cruz,-17.8,-63.1667,21.03,46,75,6.69,BO,1694629514
304,lakatoro,-16.0999,167.4164,23.93,83,100,6.51,VU,1694629618
305,masterton,-40.9597,175.6575,9.38,89,11,3.08,NZ,1694629618
306,udachny,66.4167,112.4,1.36,86,99,4.75,RU,1694629618
307,cannonvale,-20.2833,148.7,20.66,67,1,6.95,AU,1694629618
308,santa cruz cabralia,-16.2781,-39.0247,27.13,69,40,7.2,BR,1694629618
309,ha giang,22.8333,104.9833,23.35,95,100,1.1,VN,1694629618
310,kittila,67.6647,24.8936,7.08,87,0,1.54,FI,1694629619
311,zelenogradsk,54.9589,20.4767,20.03,85,75,5.0,RU,1694629619
312,mount isa,-20.7333,139.5,18.87,30,27,3.6,AU,1694629619
313,mizan teferi,6.9833,35.5833,16.46,95,48,1.49,ET,1694629619
314,siwa oasis,29.2041,25.5195,30.39,24,0,3.07,EG,1694629619
315,khanty-mansiysk,61.0042,69.0019,12.06,100,12,0.0,RU,1694629477
316,alvaraes,-3.2208,-64.8042,33.93,32,26,2.15,BR,1694629619
317,taroa,8.7058,171.2275,28.21,78,72,6.08,MH,1694629619
318,daura,11.5538,11.4085,29.74,49,35,3.2,NG,1694629620
319,cam ranh,11.9214,109.1591,27.98,78,40,1.54,VN,1694629620
320,brookings,44.3114,-96.7984,23.58,52,0,6.17,US,1694629360
321,demre,36.2537,29.9777,25.78,50,0,2.31,TR,1694629620
322,holualoa,19.6228,-155.9522,25.91,69,0,0.45,US,1694629620
323,yanchep,-31.55,115.6833,14.51,62,99,8.78,AU,1694629620
324,la arena,-5.3466,-80.7109,31.1,35,10,6.47,PE,1694629620
325,moncarapacho,37.0886,-7.7872,25.68,72,20,6.17,PT,1694629620
326,acapulco de juarez,16.8634,-99.8901,32.9,62,40,3.6,MX,1694629620
327,flying fish cove,-10.4217,105.6791,23.82,88,75,6.17,CX,1694629620
328,champerico,14.3,-91.9167,34.3,67,50,3.92,GT,1694629621
329,akureyri,65.6835,-18.0878,11.96,50,20,1.54,IS,1694629387
330,petrozavodsk,61.7849,34.3469,16.7,88,40,0.0,RU,1694629621
331,skiathos,39.1623,23.4909,23.32,78,0,1.54,GR,1694629621
332,ron,15.6667,75.7333,23.32,80,84,6.88,IN,1694629621
333,revda,56.801,59.9303,11.7,78,100,0.8,RU,1694629621
334,madang,-5.2246,145.7966,24.82,89,69,0.4,PG,1694629621
335,sirte,31.2089,16.5887,25.25,63,0,6.0,LY,1694629621
336,iskateley,67.6803,53.1512,14.7,77,78,8.59,RU,1694629622
337,inirida,3.8653,-67.9239,36.36,40,70,1.0,CO,1694629622
338,grantsville,40.5999,-112.4644,25.49,37,40,4.12,US,1694629622
339,galle,6.0367,80.217,25.75,86,85,3.25,LK,1694629622
340,tual,-5.6667,132.75,25.11,84,38,8.6,ID,1694629622
341,la'ie,21.6477,-157.9253,26.98,85,38,1.79,US,1694629622
342,tabou,4.423,-7.3528,25.02,90,98,4.86,CI,1694629622
343,ponorogo,-7.8685,111.462,23.4,79,58,2.39,ID,1694629623
344,saint-philippe,-21.3585,55.7679,21.77,85,54,5.22,RE,1694629623
345,severo-yeniseyskiy,60.3725,93.0408,5.26,83,91,0.37,RU,1694629623
346,imbituba,-28.24,-48.6703,24.36,71,80,5.07,BR,1694629504
347,hovd,48.0056,91.6419,11.18,39,18,1.88,MN,1694629623
348,tsetserleg,47.475,101.4542,9.9,97,100,0.42,MN,1694629623
349,madera,37.1666,-119.8343,31.67,28,0,2.13,US,1694629623
350,garagoa,5.0824,-73.3633,24.87,51,11,3.34,CO,1694629623
351,ulsteinvik,62.3432,5.8487,12.09,73,64,3.13,NO,1694629624
352,glens falls north,43.3351,-73.6825,22.05,91,75,0.45,US,1694629624
353,corner brook,48.9667,-57.9484,20.09,72,96,2.08,CA,1694629463
354,zhanibek,49.4167,46.85,13.71,74,100,0.71,KZ,1694629624
355,dawei,14.0833,98.2,24.03,95,100,1.24,MM,1694629624
356,minas de marcona,-15.2119,-75.1103,15.82,71,82,9.15,PE,1694629624
357,la passe,45.5549,-0.8967,23.13,69,4,4.56,FR,1694629624
358,urangan,-25.3,152.9,17.06,78,63,4.16,AU,1694629624
359,heihe,50.2441,127.4902,9.32,97,100,2.49,CN,1694629624
360,bungay,52.4543,1.4382,17.17,82,99,2.81,GB,1694629625
361,malpica,43.3228,-8.8105,22.09,74,31,6.94,ES,1694629625
362,nadym,65.5333,72.5167,12.28,70,4,4.37,RU,1694629477
363,prado,-17.3411,-39.2208,25.77,69,14,5.48,BR,1694629625
